127.0.0.1 - - [21/Jul/2015:14:47:23 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/961f5c60909005e4912b8edb66c4666e-CDN/fr_FR3c00tt/64019/3/3.2.2/_/download/resources/com.atlassian.jira.plugins.jira-dnd-attachment-plugin:drag-and-drop-attachment-javascript/IssueDropZone.css HTTP/1.1" 200 3592
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/cbf20eb72427076d761f47b872b31129-CDN/fr_FR3c00tt/64019/3/2.3.8-D20150310T003755/_/download/resources/com.atlassian.jira.plugins.jira-development-integration-plugin:devstatus-dialog-resources/devstatus-detail-dialog.css HTTP/1.1" 200 32013
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.5.20/_/download/resources/com.atlassian.support.stp:stp-license-status-resources/stp-licenseStatus.css HTTP/1.1" 200 5
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/0.27/_/download/resources/com.atlassian.jira.plugins.jira-software-plugin:jira-software-project-template-resources/software-project-templates.css HTTP/1.1" 200 1042
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/8285f4c138e8df04b2c3cef3df1f2a4d-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:avatar-picker/AvatarPicker.css HTTP/1.1" 200 3378
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/3356bd9c956286279f23c75db616a151-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.jira-issue-link-confluence-plugin:confluence-page-resource/css/confluencepagelink.css HTTP/1.1" 200 1386
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/8285f4c138e8df04b2c3cef3df1f2a4d-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:calendar/calendar.css HTTP/1.1" 200 3404
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/7.3.14/_/download/resources/com.atlassian.jira.plugin.ext.bamboo:bamboo-page-resource/release.css HTTP/1.1" 200 9019
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/aae9a8ab2a8d6af32ff4f9bbde9e15f4-CDN/fr_FR3c00tt/64019/3/2.4.17/_/download/resources/com.atlassian.jira.jira-quick-edit-plugin:quick-form/quickform.css HTTP/1.1" 200 4012
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/1.5.27/_/download/resources/com.atlassian.plugins.jira-html5-attach-images:jira-html5-attach-images-resources/jira-html5-attach-images.css HTTP/1.1" 200 1541
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/67eb12639545f95fec69ec3d92586307-CDN/fr_FR3c00tt/64019/3/1.2/_/download/resources/com.atlassian.jira.plugins.jira-wiki-editor:wiki-editor-resources/wiki-editor.css HTTP/1.1" 200 8545
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/5f15bc9b375431e97040127cd7e70cd7-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.jira-issue-link-remote-jira-plugin:issue-link-jira-search-js/css/issuelink-jira-search.css HTTP/1.1" 200 1591
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/theme.css HTTP/1.1" 200 5965
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/344bcae287252e8322b4df871d643508-CDN/fr_FR3c00tt/64019/3/5.7.27/_/download/resources/com.atlassian.auiplugin:aui-experimental-labels/aui-experimental-labels.css HTTP/1.1" 200 5050
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/aui-overrides.css HTTP/1.1" 200 5308
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/layout.css HTTP/1.1" 200 4785
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/notifications.css HTTP/1.1" 200 6256
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/forms-lookandfeel.css HTTP/1.1" 200 58
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/tables.css HTTP/1.1" 200 6788
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/core.css HTTP/1.1" 200 11239
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/tabs.css HTTP/1.1" 200 2394
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/ops-bar.css HTTP/1.1" 200 1935
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/forms.css HTTP/1.1" 200 19226
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/graphs.css HTTP/1.1" 200 1388
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/dashboards.css HTTP/1.1" 200 61
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/issue-nav.css HTTP/1.1" 200 83
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/stalker.css HTTP/1.1" 200 2663
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/issue-table.css HTTP/1.1" 200 9508
192.168.123.146 - - [21/Jul/2015:14:48:11 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/issue-actions.css HTTP/1.1" 200 1459
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/modules.css HTTP/1.1" 200 11978
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/issue-view.css HTTP/1.1" 200 16621
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/labels.css HTTP/1.1" 200 1234
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/versions-panel.css HTTP/1.1" 200 2716
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/dialog.css HTTP/1.1" 200 1232
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/lozenges.css HTTP/1.1" 200 603
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/sharing.css HTTP/1.1" 200 962
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/wiki-renderer-lookandfeel.css HTTP/1.1" 200 74
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/navigation.css HTTP/1.1" 200 6300
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/print.css HTTP/1.1" 200 2410
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/about.css HTTP/1.1" 200 101
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.3.13/_/download/resources/com.atlassian.plugins.atlassian-nav-links-plugin:rotp-menu/appswitcher.css HTTP/1.1" 200 5719
